,,,,,,
,,,,,,
,,,,,,
,Alaska,International Bridge,,,,
,Alabama,"Courier Express, Hackbarth",,,,
,Arkansas,"Hackbarth, LSO",,,,
,Arizona,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,California,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,Colorado,"IntelliQuick Delivery, OnTrac",,,,
,Connecticut,"LaserShip, Pitt Ohio",,,,
,District of Columbia,"LaserShip, Pitt Ohio",,,,
,Delaware,"LaserShip, Pitt Ohio",,,,
,Florida,"Courier Express, Hackbarth, LaserShip",,,,
,Georgia,"Courier Express, Hackbarth, LaserShip",,,,
,Hawaii,International Bridge,,,,
,Iowa,"Pitt Ohio, Spee-Dee Delivery, United Delivery Service",,,,
,Idaho,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,Illinois,"Pitt Ohio, Spee-Dee Delivery, United Delivery Service",,,,
,Indiana,"LaserShip, Pitt Ohio, United Delivery Service",,,,
,Kansas,Hackbarth,,,,
,Kentucky,"LaserShip, Pitt Ohio",,,,
,Louisiana,"Hackbarth, LSO",,,,
,Massachusetts,"LaserShip, Pitt Ohio",,,,
,Maryland,"LaserShip, Pitt Ohio",,,,
,Maine,Pitt Ohio,,,,
,Michigan,"LaserShip (excludes upper peninsula), Pitt Ohio, Spee-Dee Delivery (some cities), United Delivery Service",,,,
,Minnesota,"Spee-Dee Delivery, United Delivery Service",,,,
,Missouri,"Hackbarth, Pitt Ohio, Spee-Dee Delivery (some cities)",,,,
,Mississippi,Hackbarth,,,,
,Montana,N/A,,,,
,North Carolina,"Courier Express, LaserShip",,,,
,North Dakota,Spee-Dee Delivery,,,,
,Nebraska,"Pitt Ohio, Spee-Dee Delivery (some cities)",,,,
,New Hampshire,"LaserShip, Pitt Ohio",,,,
,New Jersey,"LaserShip, Pitt Ohio",,,,
,New Mexico,"GLS (formerly GSO), IntelliQuick Delivery, LSO",,,,
,Nevada,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,New York,"LaserShip, Pitt Ohio",,,,
,Ohio,"Hackbarth, LaserShip, Pitt Ohio",,,,
,Oklahoma,LSO,,,,
,Oregon,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,Pennsylvania,"LaserShip, Pitt Ohio",,,,
,Rhode Island,"LaserShip, Pitt Ohio",,,,
,South Carolina,"Courier Express, LaserShip",,,,
,South Dakota,Spee-Dee Delivery,,,,
,Tennessee,"Courier Express, Hackbarth",,,,
,Texas,"Hackbarth, IntelliQuick Delivery (only El Paso), LSO",,,,
,Utah,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,Virginia,"Courier Express, LaserShip, Pitt Ohio",,,,
,Vermont,Pitt Ohio,,,,
,Washington,"GLS (formerly GSO), IntelliQuick Delivery, OnTrac",,,,
,Wisconsin,"Pitt Ohio, Spee-Dee Delivery, United Delivery Service",,,,
,West Virginia,"Hackbarth, LaserShip, Pitt Ohio",,,,
,Wyoming,N/A,,,,
